Jocul 1: Scor total = 10020, Swap-uri = 819, Motiv oprire = REACHED_TARGET, Timp = 3.20 secunde
Jocul 2: Scor total = 10000, Swap-uri = 805, Motiv oprire = REACHED_TARGET, Timp = 2.90 secunde
Jocul 3: Scor total = 10000, Swap-uri = 902, Motiv oprire = REACHED_TARGET, Timp = 3.59 secunde
Jocul 4: Scor total = 10000, Swap-uri = 800, Motiv oprire = REACHED_TARGET, Timp = 2.99 secunde
Jocul 5: Scor total = 10000, Swap-uri = 900, Motiv oprire = REACHED_TARGET, Timp = 3.53 secunde
Jocul 6: Scor total = 10015, Swap-uri = 864, Motiv oprire = REACHED_TARGET, Timp = 3.20 secunde
Jocul 7: Scor total = 10000, Swap-uri = 882, Motiv oprire = REACHED_TARGET, Timp = 3.35 secunde
Jocul 8: Scor total = 10000, Swap-uri = 809, Motiv oprire = REACHED_TARGET, Timp = 3.01 secunde
Jocul 9: Scor total = 10005, Swap-uri = 830, Motiv oprire = REACHED_TARGET, Timp = 3.47 secunde
Jocul 10: Scor total = 10000, Swap-uri = 888, Motiv oprire = REACHED_TARGET, Timp = 3.51 secunde
Jocul 11: Scor total = 10000, Swap-uri = 828, Motiv oprire = REACHED_TARGET, Timp = 3.26 secunde
Jocul 12: Scor total = 10000, Swap-uri = 905, Motiv oprire = REACHED_TARGET, Timp = 3.43 secunde
Jocul 13: Scor total = 10035, Swap-uri = 948, Motiv oprire = REACHED_TARGET, Timp = 3.50 secunde
Jocul 14: Scor total = 10035, Swap-uri = 899, Motiv oprire = REACHED_TARGET, Timp = 3.41 secunde
Jocul 15: Scor total = 10015, Swap-uri = 862, Motiv oprire = REACHED_TARGET, Timp = 3.34 secunde
Jocul 16: Scor total = 10010, Swap-uri = 905, Motiv oprire = REACHED_TARGET, Timp = 3.32 secunde
Jocul 17: Scor total = 10030, Swap-uri = 921, Motiv oprire = REACHED_TARGET, Timp = 3.52 secunde
Jocul 18: Scor total = 10000, Swap-uri = 898, Motiv oprire = REACHED_TARGET, Timp = 3.47 secunde
Jocul 19: Scor total = 10000, Swap-uri = 974, Motiv oprire = REACHED_TARGET, Timp = 3.58 secunde
Jocul 20: Scor total = 10000, Swap-uri = 884, Motiv oprire = REACHED_TARGET, Timp = 3.34 secunde
